url,e-com_net_rev_2021,main_product_segments
amazon.de,15680.6,generalist
otto.de,5124.0,generalist
mediamarkt.de,2544.0,consumer_electronics
zalando.de,2515.0,clothing
ikea.com,1747.0,furniture and homewares
saturn.de,1340.0,consumer_electronics
apple.com,1190.0,consumer_electronics
lidl.de,1022.1,generalist
hm.com/de_de,900.2,clothing
docmorris.de,783.3,drugstore and health
bonprix.de,762.8,clothing
alternate.de,734.9,consumer_electronics
notebooksbilliger.de,731.3,consumer_electronics
aboutyou.de,710.0,clothing
cyberport.de,699.3,consumer_electronics
tchibo.de,660.0,generalist
breuninger.com/de,600.1,clothing
conrad.de,580.6,consumer_electronics
baur.de,536.1,clothing
shop-apotheke.com,517.9,drugstore and health
douglas.de/de,488.6,drugstore and health
shop.rewe.de,483.1,groceries and drinks
hornbach.de,475.8,"diy, garden and pet supplies"
zooplus.de,446.8,"diy, garden and pet supplies"
obi.de,437.4,"diy, garden and pet supplies"
qvc.de,434.7,generalist
flaschenpost.de,425.6,groceries and drinks
thomann.de,415.2,hobby and writing materials
edelmetall-handel.de,406.6,hobby and writing materials
mytoys.de,388.2,toys and baby
de.shein.com,387.2,clothing
bestsecret.com,382.5,clothing
mindfactory.de,362.0,consumer_electronics
flaconi.de,359.4,drugstore and health
goldsilbershop.de,349.0,hobby and writing materials
home24.de,336.6,furniture and homewares
limango.de,310.4,generalist
shop.degussa-goldhandel.de,309.9,hobby and writing materials
auragentum.de,309.2,hobby and writing materials
thalia.de,300.8,"books, movies, music and games"
wayfair.de,294.6,furniture and homewares
anlagegold24.de,284.6,hobby and writing materials
www.nike.com/de,280.9,sports and outdoor
reuter.de,273.0,furniture and homewares
decathlon.de,268.0,sports and outdoor
kaufland.de,264.7,generalist
soliver.de,262.8,clothing
bauhaus.info,259.3,"diy, garden and pet supplies"
eis.de,256.5,hobby and writing materials
xxxlutz.de,249.2,furniture and homewares
zalando-lounge.de,246.8,clothing
hse.de,244.3,generalist
euronics.de,241.4,home appliances
zara.com,239.0,clothing
asos.com/de/,233.3,clothing
dm.de,231.2,drugstore and health
esprit.de,228.2,clothing
ao.de,226.0,home appliances
jacob.de,224.9,consumer_electronics
adidas.de,223.5,sports and outdoor
medpex.de,216.9,drugstore and health
galeria.de,210.0,generalist
c-and-a.com/de,199.6,clothing
medimops.de,187.4,"books, movies, music and games"
bader.de,182.2,generalist
klingel.de,181.2,generalist
medikamente-per-klick.de,180.0,drugstore and health
canyon.com,160.7,sports and outdoor
poco.de,160.0,furniture and homewares
rebuy.de,159.5,consumer_electronics
jako-o.com/de_DE,153.5,toys and baby
computeruniverse.net,148.7,consumer_electronics
weltbild.de,147.8,"books, movies, music and games"
medion.com/de/shop,147.8,consumer_electronics
westwing.de,146.1,furniture and homewares
peek-cloppenburg.de,145.1,clothing
bike24.de,144.9,sports and outdoor
reifendirekt.de,144.7,"diy, garden and pet supplies"
ernstings-family.de,142.7,clothing
netto-online.de,142.3,generalist
christ.de,142.2,bags and accessories
bofrost.de,139.6,groceries and drinks
office-partner.de,136.1,consumer_electronics
voelkner.de,133.6,generalist
apodiscounter.de,132.2,drugstore and health
bett1.de,132.1,furniture and homewares
de.erwinmueller.com,130.2,furniture and homewares
emp.de,130.0,clothing
kfzteile24.de,128.6,"diy, garden and pet supplies"
witt-weiden.de,128.5,clothing
sportscheck.com,127.7,sports and outdoor
teufel.de,127.0,consumer_electronics
babymarkt.de,125.4,toys and baby
casando.de,122.7,"diy, garden and pet supplies"
amazon.com,122.7,generalist
pearl.de,122.1,generalist
fressnapf.de,121.8,"diy, garden and pet supplies"
veepee.de,120.7,clothing
reichelt.de,120.1,"diy, garden and pet supplies"
misterspex.de,119.4,drugstore and health
